participant_id	right_contacts_old	right_contacts_new	left_contacts_old	left_contacts_new
rhm007	EEG001	LFP-right-0	EEG009	LFP-left-0
rhm007	EEG002	LFP-right-1	EEG010	LFP-left-1
rhm007	EEG003	LFP-right-2	EEG011	LFP-left-2
rhm007	EEG004	LFP-right-3	EEG012	LFP-left-3
rhm007	EEG005	LFP-right-4	EEG013	LFP-left-4
rhm007	EEG006	LFP-right-5	EEG014	LFP-left-5
rhm007	EEG007	LFP-right-6	EEG015	LFP-left-6
rhm007	EEG008	LFP-right-7	EEG016	LFP-left-7
