participant_id	right_contacts_old	right_contacts_new	left_contacts_old	left_contacts_new
sub-hnetKS	EEG001	LFP-right-0	EEG005	LFP-left-0
sub-hnetKS	EEG002	LFP-right-1	EEG006	LFP-left-1
sub-hnetKS	EEG003	LFP-right-2	EEG007	LFP-left-2
sub-hnetKS	EEG004	LFP-right-3	EEG008	LFP-left-3
